"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_3675,field_3671,field_3719,field_3720
18065,18065,Art O Mat Acquisition and Construction,,Active
18066,18066,Art O Mat Acquisition and Construction,,Active
18067,18067,Placemaking Properties' Maintenance and Program Expenses,7th and West Park,Active
18068,18068,"Artists Paid for Projects, Performances and Workshops",,Active
18069,18069,"Artists Paid for Projects, Performances and Workshops",,Active
18070,18070,"Artists Paid for Projects, Performances and Workshops",,Active
18071,18071,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18072,18072,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18073,18073,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18074,18074,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18075,18075,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18076,18076,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18077,18077,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18078,18078,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18079,18079,Placemaking Properties' Maintenance and Program Expenses,Art O Mat,Active
18080,18080,Local Food Vendor Payments,,Active
18081,18081,Local Food Vendor Payments,,Active
18082,18082,Placemaking Properties' Maintenance and Program Expenses,Rock Lot,Active
16670,16670,Marketing and Promotional Expenses,,Active
16671,16671,Marketing and Promotional Expenses,,Active
16672,16672,Other Workshop Expenses,,Active
16673,16673,Workshop Consulting/Guest Speaker Costs,,Active
16674,16674,Workshop Consulting/Guest Speaker Costs,,Active
16675,16675,Kiva Hub Platform Expenses,,Active
16676,16676,Kiva Hub Platform Expenses,,Active
16677,16677,Grace Church Wilmington Kitchen Collective Costs,,Active
16678,16678,Grace Church Wilmington Kitchen Collective Costs,,Active
16679,16679,Grace Church Wilmington Kitchen Collective Costs,,Active
16680,16680,Grace Church Wilmington Kitchen Collective Costs,,Active
16681,16681,Grace Church Wilmington Kitchen Collective Costs,,Active
16682,16682,Grace Church Wilmington Kitchen Collective Costs,,Active
16683,16683,First & Central Kitchen Equipment Costs,,Active
16684,16684,Kitchens Operating Costs Paid to Riverfront Ministries Per MOU,,Active
16685,16685,Kitchens Operating Costs Paid to Riverfront Ministries Per MOU,,Active
16686,16686,Grace Church Wilmington Kitchen Collective Costs,,Active
17190,17190,Workshop Consulting/Guest Speaker Costs,,Active
17191,17191,Other Workshop Expenses,,Active
17192,17192,Other Workshop Expenses,,Active
17193,17193,Other Workshop Expenses,,Active
17194,17194,Other Workshop Expenses,,Active
17195,17195,Workshop Consulting/Guest Speaker Costs,,Active
17196,17196,Other Workshop Expenses,,Active
18085,18085,Workshop Consulting/Guest Speaker Costs,,Active
18086,18086,Other Workshop Expenses,,Active
18087,18087,Other Workshop Expenses,,Active
18090,18090,Wilmington Kitchen Collective Events Costs,,Active
